solver,instance,verdict,cpu_time,wall_time,maxrss_kb,exit_code
sat-solver,09cd83e233380d0ba1fc56cee88367b1-s38417.cnf,UNSAT,13.986,14.002,56168,20
minisat,09cd83e233380d0ba1fc56cee88367b1-s38417.cnf,UNSAT,0.466,0.467,56168,20
cadical,09cd83e233380d0ba1fc56cee88367b1-s38417.cnf,UNSAT,0.374,0.376,56120,20
kissat,09cd83e233380d0ba1fc56cee88367b1-s38417.cnf,UNSAT,0.865,0.868,56168,20
sat-solver,0a4880c0e882e6a4a31943522573c394-b19_1.cnf,TIMEOUT,64.998,65.087,375548,-1
minisat,0a4880c0e882e6a4a31943522573c394-b19_1.cnf,TIMEOUT,60.002,60.140,223648,0
cadical,0a4880c0e882e6a4a31943522573c394-b19_1.cnf,TIMEOUT,60.006,60.275,355284,-1
kissat,0a4880c0e882e6a4a31943522573c394-b19_1.cnf,TIMEOUT,59.995,60.251,175036,-1
sat-solver,0a8a4c28d27228e954354ea0a6e7f16c-sum_of_three_cubes_42_known_representation.cnf,TIMEOUT,65.046,65.124,1450220,-1
minisat,0a8a4c28d27228e954354ea0a6e7f16c-sum_of_three_cubes_42_known_representation.cnf,TIMEOUT,60.019,60.167,698164,0
cadical,0a8a4c28d27228e954354ea0a6e7f16c-sum_of_three_cubes_42_known_representation.cnf,TIMEOUT,60.022,60.289,1532068,-1
kissat,0a8a4c28d27228e954354ea0a6e7f16c-sum_of_three_cubes_42_known_representation.cnf,TIMEOUT,60.001,60.235,589600,-1
sat-solver,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12.cnf,TIMEOUT,65.007,65.090,793848,-1
minisat,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12.cnf,TIMEOUT,60.015,60.165,429860,0
cadical,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12.cnf,UNSAT,53.868,54.006,807100,20
kissat,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12.cnf,TIMEOUT,60.004,60.282,392844,-1
sat-solver,0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24.cnf,TIMEOUT,61.015,61.094,57800,0
minisat,0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24.cnf,TIMEOUT,59.998,60.121,69000,0
cadical,0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24.cnf,TIMEOUT,59.993,60.191,57800,-1
kissat,0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24.cnf,TIMEOUT,59.998,60.191,57800,-1
